NSN          	SRAN	INVENTORY                                                    
1560013299845	W	368                                                             
1560013299850	W	2                                                               
1560013299851	W	9                                                               
1560013299852	W	2                                                               
1560013299853	W	3                                                               
1560013299854	W	3                                                               
1560013299855	W	3                                                               
1560013299856	W	9                                                               
1560013299857	W	5                                                               
1560013342569	W	4                                                               
1560013342571	W	1                                                               
1560013342572	W	5                                                               
1560013342577	W	1                                                               
1560013342579	W	3                                                               
1560013342580	W	12                                                              
1560013353034	W	2                                                               
1560013353279	W	5                                                               
1560013376460	W	4                                                               
1560013376470	W	19                                                              
1560013376471	W	45                                                              
1560013377237	W	14                                                              
1560013381552	W	9                                                               
1560013381554	W	1                                                               
1560013381564	W	4                                                               
1560013381565	W	1                                                               
1560013381567	W	16                                                              
1560013381568	W	20                                                              
1560013381745	W	2                                                               
1560013388777	W	6                                                               
1560013388778	W	7                                                               
1560013388779	W	8                                                               
1560013388780	W	10                                                              
1560013388781	W	11                                                              
1560013388782	W	7                                                               
1560013388802	W	8                                                               
1560013399105	W	17                                                              
1560013413791	W	7                                                               
1560013413792	W	12                                                              
1560013413793	W	6                                                               
1560013422919	W	36                                                              
1560013422920	W	51                                                              
1560013422921	W	37                                                              
1560013422922	W	29                                                              
1560013431417	W	8                                                               
1560013433491	W	4                                                               
1560013433510	W	6                                                               
1560013440899	W	25                                                              
1560013442428	W	2                                                               
1560013442429	W	11                                                              
1560013442430	W	6                                                               
1560013450680	W	8                                                               
1560013450681	W	25                                                              
1560013450682	W	79                                                              
1560013450683	W	116                                                             
1560013450699	W	1                                                               
1560013450711	W	47                                                              
1560013498167	W	8                                                               
1560013499036	W	29                                                              
1560013501626	W	50                                                              
1560013501627	W	20                                                              
1560013502640	W	9                                                               
1560013502725	W	1                                                               
1560013502728	W	52                                                              
1560013502731	W	13                                                              
1560013502732	W	25                                                              
1560013502753	W	29                                                              
1560013502854	W	2                                                               
1560013508184	W	77                                                              
1560013512111	W	4                                                               
1560013512112	W	27                                                              
1560013512113	W	5                                                               
1560013512114	W	27                                                              
1560013512115	W	25                                                              
1560013526864	W	10                                                              
1560013526866	W	11                                                              
1560013526942	W	2                                                               
1560013533238	W	1                                                               
1560013540311	W	9                                                               
1560013540377	W	1                                                               
1560013540645	W	3                                                               
1560013543269	W	3                                                               
1560013544290	W	11                                                              
1560013546263	W	8                                                               
1560013546264	W	7                                                               
1560013548298	W	9                                                               
1560013548303	W	17                                                              
1560013548309	W	7                                                               
1560013548310	W	6                                                               
1560013548311	W	7                                                               
1560013548314	W	1                                                               
1560013548316	W	12                                                              
1560013548317	W	16                                                              
1560013548321	W	4                                                               
1560013548322	W	4                                                               
1560013548951	W	1                                                               
1560013549038	W	6                                                               
1560013551018	W	19                                                              
1560013551019	W	4                                                               
1560013551021	W	1                                                               
1560013551026	W	15                                                              
1560013551027	W	2                                                               
1560013551028	W	2                                                               
1560013551029	W	8                                                               
1560013551054	W	4                                                               
1560013551055	W	1                                                               
1560013551056	W	5                                                               
1560013551059	W	11                                                              
1560013551060	W	8                                                               
1560013551083	W	27                                                              
1560013551084	W	7                                                               
1560013551085	W	3                                                               
1560013551086	W	24                                                              
1560013551112	W	3                                                               
1560013551239	W	4                                                               
1560013553515	W	33                                                              
1560013554239	W	2                                                               
1560013554248	W	111                                                             
1560013554251	W	1                                                               
1560013554365	W	13                                                              
1560013554366	W	13                                                              
1560013554447	W	8                                                               
1560013554450	W	3                                                               
1560013554452	W	11                                                              
1560013554454	W	1                                                               
1560013554702	W	16                                                              
1560013554703	W	1                                                               
1560013554704	W	3                                                               
1560013554705	W	11                                                              
1560013554706	W	7                                                               
1560013554707	W	5                                                               
1560013554713	W	1                                                               
1560013554714	W	4                                                               
1560013554715	W	3                                                               
1560013554716	W	3                                                               
1560013554717	W	1                                                               
1560013554718	W	6                                                               
1560013554719	W	3                                                               
1560013554920	W	27                                                              
1560013554925	W	1                                                               
1560013555957	W	1                                                               
1560013555958	W	1                                                               
1560013557224	W	3                                                               
1560013557225	W	3                                                               
1560013558398	W	1                                                               
1560013559035	W	13                                                              
1560013559038	W	1                                                               
1560013559039	W	1                                                               
1560013561413	W	6                                                               
1560013561415	W	7                                                               
1560013561421	W	3                                                               
1560013561422	W	2                                                               
1560013561424	W	2                                                               
1560013563540	W	3                                                               
1560013563541	W	3                                                               
1560013563542	W	10                                                              
1560013563545	W	1                                                               
1560013563546	W	1                                                               
1560013563679	W	2                                                               
1560013563680	W	4                                                               
1560013563701	W	6                                                               
1560013563710	W	1                                                               
1560013565551	W	1                                                               
1560013568663	W	7                                                               
1560013568665	W	1                                                               
1560013568682	W	1                                                               
1560013571925	W	1                                                               
1560013571926	W	4                                                               
1560013571936	W	9                                                               
1560013574975	W	26                                                              
1560013574976	W	1                                                               
1560013580027	W	47                                                              
